id;lat;lon;keygroupID
satellite0;19.17896135519198;11.45817698537664;8059fffffffffff
satellite1;56.35872470333139;62.01339434812071;8011fffffffffff
satellite2;44.83518721974456;137.50562222741394;802ffffffffffff
satellite3;2.4018921257930486;175.9539284805255;807ffffffffffff
satellite4;-40.74130629366277;-147.8915097284453;80c7fffffffffff
satellite5;-58.65230359139413;-75.65880480693507;80e9fffffffffff
satellite6;-24.24319620232741;-20.300785255598267;80a5fffffffffff
