id;type;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7
80d3fffffffffff;hex;-58.31910366055611;-111.74367674561736;-52.6542030078627;-92.22703587760466;-40.31276675619656;-93.29179018952695;-33.70575303795421;-106.40738231200353;-37.656443450315685;-120.84967327633268;-49.37211750883398;-126.32950636437451;-58.31910366055611;-111.74367674561736
80e3fffffffffff;hex;-68.92995788193983;-148.16871950091263;-69.39359648991828;-117.65465504349031;-58.31910366055611;-111.74367674561736;-49.37211750883398;-126.32950636437451;-49.779342867662145;-143.88327636822535;-58.40154487035272;-154.91727767329212;-68.92995788193983;-148.16871950091263
8015fffffffffff;hex;56.210610737585036;106.40349563788;47.30945130281312;116.21289563713783;45.2536134909801;131.7744009814935;51.1282544997259;145.32851606893576;62.49215566258707;145.3361375450608;66.20328559643201;117.81292538828087;56.210610737585036;106.40349563788
8091fffffffffff;pent;-19.14885864900799;-125.313030646262;-16.170389213771344;-114.27330023533939;-5.242929409571677;-114.02904784459382;-1.4476428602002003;-124.29849277976767;-9.876090877671764;-131.29818275576594;-19.14885864900799;-125.313030646262;;
80b1fffffffffff;hex;-37.656443450315685;-120.84967327633268;-33.70575303795421;-106.40738231200353;-22.410566168215222;-104.98911415375095;-16.17038921377134;-114.27330023533938;-19.14885864900799;-125.313030646262;-29.089392138145282;-129.81209638720395;-37.656443450315685;-120.84967327633268
80a7fffffffffff;pent;-31.877885956365844;117.97747445215549;-21.81463899460828;122.76988803599195;-14.48240061773312;114.23117809212035;-19.358823435394203;104.00145175623875;-30.21949219982811;105.35953183291996;-31.877885956365844;117.97747445215549;;
8023fffffffffff;hex;34.99400669710761;-161.64707805135706;43.443252764365546;-153.03739182353243;54.013771481019006;-157.28277091871556;56.19652224584303;-175.74821876841347;46.18001465709015;175.62099681678237;35.74120697117649;-175.56432922504848;34.99400669710761;-161.64707805135706
80d9fffffffffff;hex;-58.03211375817634;150.11766435550592;-46.760277243692265;152.50707693963324;-38.734209457703855;139.65222628239854;-40.975558199255886;125.1209872207507;-50.77050266836529;116.79922600446484;-61.33081918088026;128.44991707893914;-58.03211375817634;150.11766435550592
80a1fffffffffff;hex;-29.08939213814527;-129.81209638720395;-19.148858649007984;-125.31303064626204;-9.876090877671764;-131.29818275576596;-8.893462571252657;-142.1510646286996;-18.242012526672724;-148.8063085814878;-29.339076105087567;-142.83571757562106;-29.08939213814527;-129.81209638720395
80c7fffffffffff;hex;-49.779342867662145;-143.88327636822535;-49.37211750883398;-126.32950636437451;-37.656443450315685;-120.84967327633268;-29.089392138145282;-129.81209638720395;-29.339076105087567;-142.83571757562106;-39.64331054771269;-151.1531311528209;-49.779342867662145;-143.88327636822535
804bfffffffffff;hex;29.892985338693546;120.50339385995798;19.25219490473866;118.80300158646772;12.387611570633617;128.2235738321257;16.77921462619375;140.1697245352548;27.94960597650389;142.43322175665756;34.33115860097915;132.30837745804203;29.892985338693546;120.50339385995798
