id;type;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8
815a7ffffffffff;hex;12.102005482769567;168.53745793093609;16.286127926718752;168.65279280829242;18.52280839538614;164.53519134064652;16.34096879992407;160.52670878987635;12.19472672616799;160.7733897026288;10.175448079467829;164.6705623084652;12.102005482769567;168.53745793093609;;
811a7ffffffffff;hex;50.66238203129508;-37.73288919120909;46.65143560334475;-40.89351751232932;42.87128950335261;-37.49806947900654;42.89421219412601;-31.146604373261287;46.760277243692265;-27.492923060366774;50.75085829394896;-30.59296189548184;50.66238203129508;-37.73288919120909;;
8126bffffffffff;hex;36.49436854843134;-104.4548159269732;40.08859650843911;-101.04033001739266;44.08337983698415;-103.53595441065622;44.41307088095467;-109.78838725262649;40.72061994800501;-113.04627123921182;36.800197061174266;-110.25748485653355;36.49436854843134;-104.4548159269732;;
81a37ffffffffff;hept;-11.195314073573549;49.34910332300427;-15.68290564770529;49.49325109536626;-16.364888728744596;50.7760990279426;-17.57765219644527;53.43341102817184;-14.874844610550758;57.208075256395155;-10.490963765899707;56.791433137766255;-8.93189150044687;52.885934197925785;-11.195314073573549;49.34910332300427
8186bffffffffff;hex;-1.3006030285245278;90.71723526584819;3.1743094571295876;89.44185686196764;4.34848669547544;84.92966654362729;1.0848539086284115;81.85307387147243;-3.2418753100088633;83.16385904323401;-4.45554680888252;87.52859397085602;-1.3006030285245278;90.71723526584819;;
81593ffffffffff;hex;22.197541386302376;-2.4838650119479455;17.935404581817405;-1.7113099039779127;16.098688642959498;2.302842809205857;18.516052400096083;5.8822629958035355;23.011147050362883;5.367573705123171;24.85833583444955;0.9946771925498326;22.197541386302376;-2.4838650119479455;;
81703ffffffffff;hex;7.972793830841424;-173.38014762578527;3.8210244943304374;-174.31673738369324;0.6498705655763973;-171.37544324872502;1.5147974903819779;-167.31261713417402;5.767146686378433;-166.16940101623453;9.06030803852662;-169.2931299839693;7.972793830841424;-173.38014762578527;;
8128bffffffffff;hex;40.72061994800501;-113.04627123921182;44.41307088095467;-109.78838725262649;48.01118812037779;-112.78800392829437;47.80409716753512;-119.23221501743073;44.05769081450336;-122.13483148443463;40.57057178749683;-119.0022822666251;40.72061994800501;-113.04627123921182;;
816afffffffffff;hex;-1.677294938194503;33.66361927713152;2.80265994839348;33.81494503394445;5.18192262495289;29.961298273611618;3.2020743391429516;25.886010570251138;-1.2704435740827682;25.586785166859997;-3.781047572700435;29.508441243966413;-1.677294938194503;33.66361927713152;;
810e7ffffffffff;hex;58.11001927435266;-69.0549959056329;55.68039630830491;-76.55890845203461;50.99021068384577;-76.05772874399094;48.757431677563375;-69.71947899952944;50.77050266836529;-63.20077399553516;55.374511696208344;-62.07826603752657;58.11001927435266;-69.0549959056329;;
815c3ffffffffff;hex;16.797013674901507;-154.25484084592023;12.265823643881994;-155.7634836482284;8.71898308656318;-152.5335322367957;9.62874721795654;-147.80006555587835;14.110797540904427;-146.1600768737492;17.73753035354521;-149.3676428224656;16.797013674901507;-154.25484084592023;;
8169bffffffffff;hex;4.672130986571935;113.98513214459506;9.10538636195205;113.09327126386995;10.50768755405878;108.77247792549403;7.303218576160169;105.35716758404884;2.770302579167013;106.41168295379833;1.535865775502144;110.72399425598122;4.672130986571935;113.98513214459506;;
818cbffffffffff;hex;-2.7687426994117548;111.64832534337991;1.535865775502144;110.72399425598122;2.770302579167013;106.41168295379833;-0.4689550165235676;103.0536445998174;-4.821343563719461;104.12723993254785;-5.89470822461465;108.41587913607124;-2.7687426994117548;111.64832534337991;;
8138fffffffffff;hex;29.300374659234986;0.2609468260311307;24.85833583444955;0.9946771925498326;23.011147050362883;5.367573705123171;25.603702576968765;9.380676605201613;30.254840780701702;8.974635637589913;32.11010693139568;4.2041739956726545;29.300374659234986;0.2609468260311307;;
811afffffffffff;hex;46.04931212219338;-47.2137967027232;41.86232211176033;-49.467374174378556;38.31689085591712;-46.053526976946245;38.734209457703855;-40.34777371760147;42.87128950335261;-37.49806947900654;46.65143560334475;-40.89351751232932;46.04931212219338;-47.2137967027232;;
8165bffffffffff;hex;10.50768755405878;108.77247792549403;15.06330111473561;107.74262433198102;16.482450442847686;103.13773328689896;13.236333300082233;99.62104197842223;8.618890658103629;100.80136063472526;7.303218576160169;105.35716758404884;10.50768755405878;108.77247792549403;;
8158fffffffffff;hept;9.899743070823424;6.801169317009776;5.860392168376588;7.212914562720071;4.86081181207326;9.102371418548284;3.789624991750129;10.722777827285633;5.762860491436932;14.583250071411678;9.913390776005325;14.43504167437164;12.05732522620953;10.416288122762339;9.899743070823424;6.801169317009776
81287ffffffffff;hex;39.442424221906194;-130.22263777229935;43.41920841314796;-127.95866237076233;46.41694831075058;-131.2901594178203;45.34099129109544;-136.70182167812146;41.45713981733576;-138.45029122366302;38.551076772095065;-135.31985086435012;39.442424221906194;-130.22263777229935;;
8196bffffffffff;hex;-8.803195449124301;37.543404782625394;-4.150912683092271;37.62415943093452;-1.677294938194503;33.66361927713152;-3.781047572700435;29.508441243966413;-8.474703869192268;29.26894300332245;-11.032728669471922;33.343140199443646;-8.803195449124301;37.543404782625394;;
810ebffffffffff;hex;63.251730805162154;-96.445263357976;59.4718593323693;-102.11996489173809;55.21855070035159;-98.56184761891002;54.300916137492074;-90.65144601546059;57.52364604763144;-84.54003278821038;62.18752970394471;-86.44620486365478;63.251730805162154;-96.445263357976;;
81367ffffffffff;hex;34.45416761701495;-142.3232078622538;30.569950882968854;-144.17342232410292;27.061192038819833;-140.91889130500925;27.469138609544554;-135.98689147817444;31.285608665560563;-134.10648897177788;34.7661254517022;-137.16670054747664;34.45416761701495;-142.3232078622538;;
81613ffffffffff;hex;4.34848669547544;84.92966654362729;8.820602456737168;83.59315755505942;9.84467337590314;79.17056508080195;6.51160073244148;76.26408541439847;2.2233436292223394;77.5983036432562;1.0848539086284115;81.85307387147243;4.34848669547544;84.92966654362729;;
810e3ffffffffff;hex;65.18096713675398;-78.07765942986175;62.18752970394471;-86.44620486365478;57.52364604763144;-84.54003278821038;55.68039630830491;-76.55890845203461;58.11001927435266;-69.0549959056329;62.86450357688439;-68.56493483321289;65.18096713675398;-78.07765942986175;;
