brokerId;lat;lon;function;leader;boxMinX;boxMinY;boxMaxX;boxMaxY
Belo Horizonte-1076967355;-19.8917;-43.9478;Broker;Belo Horizonte-1076967355;null;null;null;null
Belo Horizonte-1076967355;-87.00000000000006;-177.00000000000006;BrokerField;null;-190.0;-90.0;-174.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-171.00000000000006;BrokerField;null;-174.0;-90.0;-168.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-165.00000000000006;BrokerField;null;-168.0;-90.0;-162.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-159.00000000000006;BrokerField;null;-162.0;-90.0;-156.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-153.00000000000006;BrokerField;null;-156.0;-90.0;-150.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-147.00000000000006;BrokerField;null;-150.0;-90.0;-144.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-141.00000000000006;BrokerField;null;-144.0;-90.0;-138.0000000000001;-84.0000000000001
Belo Horizonte-1076967355;-87.00000000000006;-135.00000000000006;BrokerField;null;-138.0;-90.0;-132.0000000000001;-84.0000000000001
Jakarta-1360771077;-6.2146;106.8451;Broker;Jakarta-1360771077;null;null;null;null
Jakarta-1360771077;-75.00000000000006;-177.00000000000006;BrokerField;null;-180.0;-78.0;-174.0000000000001;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;110.99999999999994;BrokerField;null;108.0;-78.0;113.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;116.99999999999994;BrokerField;null;114.0;-78.0;119.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;122.99999999999994;BrokerField;null;120.0;-78.0;125.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;128.99999999999994;BrokerField;null;126.0;-78.0;131.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;134.99999999999994;BrokerField;null;132.0;-78.0;137.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;140.99999999999994;BrokerField;null;138.0;-78.0;143.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;146.99999999999994;BrokerField;null;144.0;-78.0;149.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;152.99999999999994;BrokerField;null;150.0;-78.0;155.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;158.99999999999994;BrokerField;null;156.0;-78.0;161.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;164.99999999999994;BrokerField;null;162.0;-78.0;167.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;170.99999999999994;BrokerField;null;168.0;-78.0;173.9999999999999;-72.0000000000001
Jakarta-1360771077;-75.00000000000006;176.99999999999994;BrokerField;null;174.0;-78.0;179.9999999999999;-72.0000000000001
Jakarta-1360771077;-69.00000000000006;-177.00000000000006;BrokerField;null;-180.0;-72.0;-174.0000000000001;-66.0000000000001
Jakarta-1360771077;-69.00000000000006;-171.00000000000006;BrokerField;null;-174.0;-72.0;-168.0000000000001;-66.0000000000001
Jakarta-1360771077;-69.00000000000006;92.99999999999994;BrokerField;null;90.0;-72.0;95.9999999999999;-66.0000000000001
Paris-1250015082;48.8566;2.3522;Broker;Paris-1250015082;null;null;null;null
Paris-1250015082;26.99999999999995;-27.00000000000005;BrokerField;null;-40.0;24.0;-24.0000000000001;29.9999999999999
Paris-1250015082;32.99999999999995;-21.00000000000005;BrokerField;null;-24.0;30.0;-18.0000000000001;35.9999999999999
Paris-1250015082;32.99999999999995;-15.00000000000005;BrokerField;null;-18.0;30.0;-12.0000000000001;35.9999999999999
Paris-1250015082;32.99999999999995;-9.00000000000005;BrokerField;null;-12.0;30.0;-6.0000000000001;35.9999999999999
Paris-1250015082;32.99999999999995;-3.00000000000005;BrokerField;null;-6.0;30.0;-1.0E-13;35.9999999999999
Paris-1250015082;32.99999999999995;2.99999999999995;BrokerField;null;0.0;30.0;5.9999999999999;35.9999999999999
Paris-1250015082;32.99999999999995;8.99999999999995;BrokerField;null;6.0;30.0;11.9999999999999;35.9999999999999
Paris-1250015082;32.99999999999995;14.99999999999995;BrokerField;null;12.0;30.0;17.9999999999999;35.9999999999999
Paris-1250015082;38.99999999999995;-33.00000000000005;BrokerField;null;-36.0;36.0;-30.0000000000001;41.9999999999999
Paris-1250015082;38.99999999999995;-27.00000000000005;BrokerField;null;-30.0;36.0;-24.0000000000001;41.9999999999999
Paris-1250015082;38.99999999999995;-21.00000000000005;BrokerField;null;-24.0;36.0;-18.0000000000001;41.9999999999999
Paris-1250015082;38.99999999999995;-15.00000000000005;BrokerField;null;-18.0;36.0;-12.0000000000001;41.9999999999999
Paris-1250015082;38.99999999999995;-9.00000000000005;BrokerField;null;-12.0;36.0;-6.0000000000001;41.9999999999999
Paris-1250015082;38.99999999999995;-3.00000000000005;BrokerField;null;-6.0;36.0;-1.0E-13;41.9999999999999
Paris-1250015082;38.99999999999995;2.99999999999995;BrokerField;null;0.0;36.0;5.9999999999999;41.9999999999999
Paris-1250015082;80.99999999999994;38.99999999999995;BrokerField;null;36.0;78.0;41.9999999999999;83.9999999999999
Paris-1250015082;80.99999999999994;44.99999999999995;BrokerField;null;42.0;78.0;47.9999999999999;83.9999999999999
Paris-1250015082;80.99999999999994;50.99999999999995;BrokerField;null;48.0;78.0;53.9999999999999;83.9999999999999
